shop_id,product_type
s00021,kurti
s00021,hijab
s00021,designer panjabi
s00021,casual shirt
s00021,nightwear set
s00022,cotton saree
s00022,cotton three-piece
s00022,hijab
s00022,nightwear set
s00022,salwar set
s00022,silk saree
s00022,kurti
s00022,bridal lehenga
s00022,winter jacket
s00022,matching blouse
s00022,embroidered blouse
s00022,anarkali kurti
s00022,woolen shawl
s00022,graphic t-shirt
s00022,lungi
s00022,casual shirt
s00022,kids eid frock
s00022,winter cap
s00022,scarf
s00022,cardigan
s00022,formal trouser
s00022,designer panjabi
s00022,denim jeans
s00022,petticoat
s00023,cardigan
s00023,cotton three-piece
s00023,designer panjabi
s00023,kurti
s00023,petticoat
s00023,salwar set
s00023,denim jeans
s00023,casual shirt
s00023,anarkali kurti
s00023,embroidered blouse
s00023,woolen shawl
s00023,cotton saree
s00024,winter cap
s00024,woolen shawl
s00024,bridal lehenga
s00024,scarf
s00024,kids eid frock
s00024,kurti
s00024,lungi
s00024,matching blouse
s00024,hijab
s00024,silk saree
s00024,nightwear set
s00024,anarkali kurti
s00024,casual shirt
s00024,cotton three-piece
s00024,salwar set
s00024,graphic t-shirt
s00024,cardigan
s00025,silk saree
s00025,designer panjabi
s00025,anarkali kurti
s00025,casual shirt
s00025,scarf
s00025,bridal lehenga
s00025,graphic t-shirt
s00025,cardigan
s00025,formal trouser
s00025,hijab
s00025,cotton saree
s00025,winter jacket
s00025,woolen shawl
s00025,kids eid frock
s00025,nightwear set
s00026,bridal lehenga
s00026,formal trouser
s00026,cardigan
s00026,graphic t-shirt
s00026,winter jacket
s00026,cotton saree
s00026,scarf
s00026,salwar set
s00026,anarkali kurti
s00026,kurti
s00026,lungi
s00026,hijab
s00026,matching blouse
s00026,nightwear set
s00026,cotton three-piece
s00026,petticoat
s00026,casual shirt
s00026,kids eid frock
s00026,winter cap
s00026,woolen shawl
s00027,anarkali kurti
s00027,woolen shawl
s00027,designer panjabi
s00027,winter jacket
s00027,petticoat
s00027,lungi
s00027,scarf
s00027,graphic t-shirt
s00027,matching blouse
s00027,cotton three-piece
s00027,bridal lehenga
s00027,kurti
s00027,salwar set
s00027,cotton saree
s00027,embroidered blouse
s00027,nightwear set
s00027,formal trouser
s00027,winter cap
s00027,cardigan
s00027,casual shirt
s00027,denim jeans
s00027,silk saree
s00028,cardigan
s00028,matching blouse
s00028,designer panjabi
s00028,kids eid frock
s00028,winter jacket
s00028,scarf
s00028,anarkali kurti
s00028,casual shirt
s00028,nightwear set
s00028,hijab
s00028,cotton saree
s00028,embroidered blouse
s00028,woolen shawl
s00028,winter cap
s00028,petticoat
s00029,kurti
s00029,winter jacket
s00029,embroidered blouse
s00029,matching blouse
s00029,casual shirt
s00029,salwar set
s00029,denim jeans
s00029,petticoat
s00029,graphic t-shirt
s00029,lungi
s00029,formal trouser
s00029,cotton saree
s00029,scarf
s00029,kids eid frock
s00029,anarkali kurti
s00029,hijab
s00029,cardigan
s00030,formal trouser
s00030,anarkali kurti
s00030,winter cap
s00030,cardigan
s00030,hijab
s00030,casual shirt
s00030,petticoat
s00030,salwar set
s00030,designer panjabi
s00030,bridal lehenga
s00030,silk saree
s00030,nightwear set
s00030,scarf
s00030,kids eid frock
s00030,lungi
s00030,kurti
s00030,graphic t-shirt
s00031,salwar set
s00031,winter cap
s00031,hijab
s00031,embroidered blouse
s00031,cotton three-piece
s00031,woolen shawl
s00031,matching blouse
s00031,petticoat
s00031,kids eid frock
s00031,silk saree
s00031,casual shirt
s00031,designer panjabi
s00031,scarf
s00031,graphic t-shirt
s00031,anarkali kurti
s00031,nightwear set
s00031,lungi
s00031,bridal lehenga
s00031,winter jacket
s00031,cotton saree
s00031,kurti
s00031,cardigan
s00031,formal trouser
s00031,denim jeans
s00032,graphic t-shirt
s00032,petticoat
s00032,bridal lehenga
s00032,denim jeans
s00032,scarf
s00032,winter jacket
s00032,silk saree
s00032,formal trouser
s00032,embroidered blouse
s00032,kids eid frock
s00032,hijab
s00032,woolen shawl
s00032,matching blouse
s00032,salwar set
s00032,winter cap
s00033,winter jacket
s00033,salwar set
s00033,winter cap
s00033,designer panjabi
s00033,embroidered blouse
s00033,denim jeans
s00033,casual shirt
s00033,graphic t-shirt
s00033,petticoat
s00033,formal trouser
s00033,anarkali kurti
s00033,bridal lehenga
s00033,matching blouse
s00034,anarkali kurti
s00034,lungi
s00034,cotton saree
s00034,designer panjabi
s00034,matching blouse
s00034,scarf
s00034,winter jacket
s00034,cotton three-piece
s00034,casual shirt
s00034,winter cap
s00034,embroidered blouse
s00034,woolen shawl
s00034,salwar set
s00034,bridal lehenga
s00034,cardigan
s00034,nightwear set
s00035,petticoat
s00035,cotton three-piece
s00035,hijab
s00035,bridal lehenga
s00035,designer panjabi
s00035,kids eid frock
s00035,nightwear set
s00035,woolen shawl
s00035,graphic t-shirt
s00035,silk saree
s00035,winter jacket
s00035,matching blouse
s00035,denim jeans
s00035,scarf
s00035,formal trouser
s00035,winter cap
s00035,kurti
s00035,salwar set
s00035,casual shirt
s00036,graphic t-shirt
s00036,embroidered blouse
s00036,denim jeans
s00036,hijab
s00036,matching blouse
s00036,formal trouser
s00036,winter cap
s00036,silk saree
s00036,petticoat
s00036,kids eid frock
s00036,salwar set
s00036,bridal lehenga
s00036,scarf
s00036,cotton saree
s00036,anarkali kurti
s00036,nightwear set
s00036,cardigan
s00036,woolen shawl
s00037,scarf
s00037,cardigan
s00037,nightwear set
s00037,salwar set
s00037,kids eid frock
s00037,lungi
s00037,matching blouse
s00037,cotton saree
s00037,bridal lehenga
s00037,kurti
s00037,cotton three-piece
s00037,silk saree
s00037,anarkali kurti
s00037,casual shirt
s00037,winter jacket
s00037,formal trouser
s00037,designer panjabi
s00038,anarkali kurti
s00038,lungi
s00038,embroidered blouse
s00038,cotton saree
s00038,scarf
s00038,denim jeans
s00038,matching blouse
s00038,casual shirt
s00038,silk saree
s00038,bridal lehenga
s00038,hijab
s00038,salwar set
s00038,graphic t-shirt
s00038,nightwear set
s00038,woolen shawl
s00038,formal trouser
s00038,winter jacket
s00038,petticoat
s00038,kids eid frock
s00038,kurti
s00039,silk saree
s00039,kids eid frock
s00039,matching blouse
s00039,formal trouser
s00039,winter cap
s00039,lungi
s00039,designer panjabi
s00039,denim jeans
s00039,cotton saree
s00039,cardigan
s00039,scarf
s00039,winter jacket
s00039,anarkali kurti
s00039,graphic t-shirt
s00039,nightwear set
s00039,hijab
s00039,woolen shawl
s00039,cotton three-piece
s00039,embroidered blouse
s00040,formal trouser
s00040,woolen shawl
s00040,kids eid frock
s00040,winter jacket
s00040,nightwear set
s00040,denim jeans
s00040,silk saree
s00040,embroidered blouse
s00040,kurti
s00040,cardigan
s00040,winter cap
s00040,petticoat
s00040,hijab
s00040,lungi
s00041,petticoat
s00041,anarkali kurti
s00041,cotton three-piece
s00041,embroidered blouse
s00041,matching blouse
s00041,formal trouser
s00041,nightwear set
s00041,casual shirt
s00041,silk saree
s00041,winter jacket
s00041,winter cap
s00041,cotton saree
s00041,kurti
s00041,woolen shawl
s00041,salwar set
s00042,cardigan
s00042,formal trouser
s00042,petticoat
s00042,cotton saree
s00042,casual shirt
s00042,hijab
s00042,silk saree
s00042,woolen shawl
s00042,winter cap
s00042,lungi
s00042,embroidered blouse
s00042,kids eid frock
s00042,winter jacket
s00042,kurti
s00042,salwar set
s00042,graphic t-shirt
s00043,formal trouser
s00043,silk saree
s00043,embroidered blouse
s00043,woolen shawl
s00043,bridal lehenga
s00043,graphic t-shirt
s00043,hijab
s00043,kurti
s00043,kids eid frock
s00043,denim jeans
s00043,cotton three-piece
s00043,winter cap
s00043,winter jacket
s00043,cardigan
s00043,scarf
s00043,matching blouse
s00043,salwar set
s00044,cotton three-piece
s00044,silk saree
s00044,winter cap
s00044,salwar set
s00044,hijab
s00044,scarf
s00044,bridal lehenga
s00044,nightwear set
s00044,petticoat
s00044,casual shirt
s00044,designer panjabi
s00044,denim jeans
s00044,matching blouse
s00044,embroidered blouse
s00044,kurti
s00044,cotton saree
s00044,formal trouser
s00044,lungi
s00044,winter jacket
s00044,graphic t-shirt
s00044,cardigan
s00044,anarkali kurti
s00044,woolen shawl
s00045,formal trouser
s00045,anarkali kurti
s00045,kurti
s00045,woolen shawl
s00045,silk saree
s00045,bridal lehenga
s00045,matching blouse
s00045,embroidered blouse
s00045,kids eid frock
s00045,scarf
s00045,graphic t-shirt
s00045,lungi
s00045,winter jacket
s00045,hijab
s00045,cardigan
s00045,winter cap
s00045,petticoat
s00045,salwar set
s00045,denim jeans
s00045,cotton saree
s00045,nightwear set
s00046,bridal lehenga
s00046,winter cap
s00046,kurti
s00046,silk saree
s00046,casual shirt
s00046,designer panjabi
s00046,nightwear set
s00046,formal trouser
s00046,hijab
s00046,embroidered blouse
s00046,kids eid frock
s00046,cotton three-piece
s00046,petticoat
s00046,winter jacket
s00046,anarkali kurti
s00046,lungi
s00047,nightwear set
s00047,bridal lehenga
s00047,kids eid frock
s00047,salwar set
s00047,hijab
s00047,scarf
s00047,woolen shawl
s00047,designer panjabi
s00047,lungi
s00047,silk saree
s00047,anarkali kurti
s00047,cotton saree
s00047,cotton three-piece
s00047,formal trouser
s00047,denim jeans
s00047,petticoat
s00047,winter jacket
s00047,graphic t-shirt
s00048,lungi
s00048,designer panjabi
s00048,cardigan
s00048,embroidered blouse
s00048,salwar set
s00048,formal trouser
s00048,cotton saree
s00048,casual shirt
s00048,anarkali kurti
s00048,winter jacket
s00048,denim jeans
s00048,matching blouse
s00048,nightwear set
s00048,petticoat
s00049,petticoat
s00049,bridal lehenga
s00049,cardigan
s00049,scarf
s00049,silk saree
s00049,formal trouser
s00049,winter jacket
s00049,denim jeans
s00049,cotton saree
s00049,kurti
s00049,graphic t-shirt
s00049,nightwear set
s00049,lungi
s00049,hijab
s00049,salwar set
s00049,casual shirt
s00049,designer panjabi
s00049,anarkali kurti
s00049,matching blouse
s00049,woolen shawl
s00049,embroidered blouse
s00049,kids eid frock
s00049,cotton three-piece
s00049,winter cap
s00050,winter cap
s00050,scarf
s00050,embroidered blouse
s00050,hijab
s00050,graphic t-shirt
s00050,cotton saree
s00050,cardigan
s00050,anarkali kurti
s00050,woolen shawl
s00050,casual shirt
s00050,matching blouse
s00050,formal trouser
s00050,lungi
s00050,cotton three-piece
s00050,kids eid frock
s00051,cardigan
s00051,hijab
s00051,petticoat
s00051,graphic t-shirt
s00051,embroidered blouse
s00051,denim jeans
s00051,cotton three-piece
s00051,salwar set
s00051,winter jacket
s00051,scarf
s00051,winter cap
s00051,woolen shawl
s00051,kids eid frock
s00051,anarkali kurti
s00051,cotton saree
s00051,kurti
s00051,bridal lehenga
s00051,formal trouser
s00051,casual shirt
s00051,nightwear set
s00051,designer panjabi
s00051,silk saree
s00051,matching blouse
s00052,designer panjabi
s00052,winter cap
s00052,graphic t-shirt
s00052,casual shirt
s00052,scarf
s00052,formal trouser
s00052,embroidered blouse
s00052,hijab
s00052,kurti
s00052,matching blouse
s00052,denim jeans
s00052,salwar set
s00052,nightwear set
s00052,cardigan
s00052,petticoat
s00052,cotton three-piece
s00052,anarkali kurti
s00052,kids eid frock
s00052,cotton saree
s00052,winter jacket
s00052,bridal lehenga
s00052,silk saree
s00053,designer panjabi
s00053,hijab
s00053,embroidered blouse
s00053,winter cap
s00053,silk saree
s00053,cardigan
s00053,anarkali kurti
s00053,kids eid frock
s00053,kurti
s00053,lungi
s00053,nightwear set
s00053,bridal lehenga
s00053,cotton saree
s00053,graphic t-shirt
s00053,salwar set
s00054,kids eid frock
s00054,formal trouser
s00054,matching blouse
s00054,casual shirt
s00054,cotton saree
s00054,salwar set
s00054,embroidered blouse
s00054,nightwear set
s00054,cotton three-piece
s00054,lungi
s00054,bridal lehenga
s00054,denim jeans
s00054,hijab
s00054,graphic t-shirt
s00054,anarkali kurti
s00055,formal trouser
s00055,nightwear set
s00055,bridal lehenga
s00055,salwar set
s00055,woolen shawl
s00055,petticoat
s00055,winter jacket
s00055,silk saree
s00055,lungi
s00055,cotton three-piece
s00055,cotton saree
s00055,scarf
s00055,kids eid frock
s00055,embroidered blouse
s00055,graphic t-shirt
s00055,denim jeans
s00055,cardigan
s00056,casual shirt
s00056,nightwear set
s00056,graphic t-shirt
s00056,embroidered blouse
s00056,scarf
s00056,petticoat
s00056,kids eid frock
s00056,winter jacket
s00056,salwar set
s00056,matching blouse
s00056,denim jeans
s00056,designer panjabi
s00056,silk saree
s00056,woolen shawl
s00056,cardigan
s00056,formal trouser
s00057,embroidered blouse
s00057,salwar set
s00057,woolen shawl
s00057,designer panjabi
s00057,lungi
s00057,casual shirt
s00057,winter jacket
s00057,bridal lehenga
s00057,petticoat
s00057,graphic t-shirt
s00057,cardigan
s00057,scarf
s00057,cotton saree
s00057,matching blouse
s00057,kids eid frock
s00057,kurti
s00057,formal trouser
s00058,formal trouser
s00058,casual shirt
s00058,bridal lehenga
s00058,denim jeans
s00058,salwar set
s00058,cotton saree
s00058,lungi
s00058,designer panjabi
s00058,nightwear set
s00058,graphic t-shirt
s00058,cotton three-piece
s00058,scarf
s00059,scarf
s00059,winter jacket
s00059,salwar set
s00059,anarkali kurti
s00059,kids eid frock
s00059,cardigan
s00059,formal trouser
s00059,petticoat
s00059,graphic t-shirt
s00059,nightwear set
s00059,denim jeans
s00059,matching blouse
s00059,embroidered blouse
s00059,hijab
s00059,cotton three-piece
s00059,casual shirt
s00059,silk saree
s00059,winter cap
s00059,kurti
s00059,lungi
s00059,cotton saree
s00059,woolen shawl
s00059,bridal lehenga
s00059,designer panjabi
s00060,silk saree
s00060,denim jeans
s00060,formal trouser
s00060,scarf
s00060,designer panjabi
s00060,anarkali kurti
s00060,kids eid frock
s00060,cotton saree
s00060,lungi
s00060,kurti
s00060,nightwear set
s00060,petticoat
s00060,woolen shawl
s00060,casual shirt
s00060,embroidered blouse
s00060,winter cap
s00060,graphic t-shirt
s00060,cardigan
s00060,matching blouse
s00061,formal trouser
s00061,anarkali kurti
s00061,woolen shawl
s00061,cardigan
s00061,graphic t-shirt
s00061,salwar set
s00061,kurti
s00061,winter jacket
s00061,embroidered blouse
s00061,silk saree
s00061,cotton three-piece
s00061,cotton saree
s00061,casual shirt
s00061,hijab
s00061,bridal lehenga
s00061,kids eid frock
s00061,winter cap
s00061,designer panjabi
s00061,scarf
s00061,petticoat
s00061,nightwear set
s00061,denim jeans
s00062,woolen shawl
s00062,bridal lehenga
s00062,salwar set
s00062,winter jacket
s00062,hijab
s00062,embroidered blouse
s00062,silk saree
s00062,cotton three-piece
s00062,denim jeans
s00062,anarkali kurti
s00062,cotton saree
s00062,graphic t-shirt
s00062,matching blouse
s00062,cardigan
s00063,salwar set
s00063,winter cap
s00063,anarkali kurti
s00063,matching blouse
s00063,bridal lehenga
s00063,cotton saree
s00063,hijab
s00063,winter jacket
s00063,nightwear set
s00063,cotton three-piece
s00063,scarf
s00063,graphic t-shirt
s00063,lungi
s00063,kids eid frock
s00063,casual shirt
s00063,embroidered blouse
s00063,designer panjabi
s00063,formal trouser
s00064,petticoat
s00064,scarf
s00064,matching blouse
s00064,graphic t-shirt
s00064,casual shirt
s00064,designer panjabi
s00064,silk saree
s00064,nightwear set
s00064,denim jeans
s00064,lungi
s00064,bridal lehenga
s00064,hijab
s00064,winter cap
s00065,casual shirt
s00065,salwar set
s00065,matching blouse
s00065,winter jacket
s00065,winter cap
s00065,petticoat
s00065,hijab
s00065,scarf
s00065,designer panjabi
s00065,cotton three-piece
s00065,kids eid frock
s00065,cotton saree
s00065,denim jeans
s00065,graphic t-shirt
s00065,formal trouser
s00065,nightwear set
s00065,lungi
s00065,bridal lehenga
s00066,cotton saree
s00066,bridal lehenga
s00066,graphic t-shirt
s00066,woolen shawl
s00066,salwar set
s00066,casual shirt
s00066,anarkali kurti
s00066,nightwear set
s00066,lungi
s00066,matching blouse
s00066,kids eid frock
s00066,denim jeans
s00066,designer panjabi
s00067,casual shirt
s00067,hijab
s00067,salwar set
s00067,cotton three-piece
s00067,formal trouser
s00067,winter jacket
s00067,kids eid frock
s00067,graphic t-shirt
s00067,nightwear set
s00067,embroidered blouse
s00067,winter cap
s00067,lungi
s00067,silk saree
s00067,bridal lehenga
s00067,woolen shawl
s00067,denim jeans
s00067,cardigan
s00067,matching blouse
s00067,scarf
s00067,cotton saree
s00067,designer panjabi
s00067,anarkali kurti
s00067,kurti
s00068,winter cap
s00068,kurti
s00068,scarf
s00068,salwar set
s00068,silk saree
s00068,cotton three-piece
s00068,woolen shawl
s00068,winter jacket
s00068,designer panjabi
s00068,anarkali kurti
s00068,embroidered blouse
s00068,hijab
s00068,petticoat
s00068,kids eid frock
s00068,cardigan
s00068,denim jeans
s00069,cotton three-piece
s00069,winter jacket
s00069,denim jeans
s00069,bridal lehenga
s00069,designer panjabi
s00069,lungi
s00069,woolen shawl
s00069,kurti
s00069,silk saree
s00069,scarf
s00069,anarkali kurti
s00069,hijab
s00069,embroidered blouse
s00069,matching blouse
s00069,formal trouser
s00069,salwar set
s00069,cardigan
s00069,cotton saree
s00069,casual shirt
s00069,winter cap
s00070,silk saree
s00070,kids eid frock
s00070,cotton three-piece
s00070,hijab
s00070,cardigan
s00070,embroidered blouse
s00070,winter jacket
s00070,denim jeans
s00070,casual shirt
s00070,matching blouse
s00070,salwar set
s00070,winter cap
s00070,petticoat
s00070,nightwear set
s00070,scarf
s00070,anarkali kurti
s00070,graphic t-shirt
s00070,bridal lehenga
s00070,woolen shawl
s00070,lungi
s00070,kurti
s00070,designer panjabi
s00070,cotton saree
s00071,anarkali kurti
s00071,winter jacket
s00071,lungi
s00071,matching blouse
s00071,kurti
s00071,bridal lehenga
s00071,denim jeans
s00071,designer panjabi
s00071,silk saree
s00071,hijab
s00071,woolen shawl
s00071,winter cap
s00071,formal trouser
s00072,matching blouse
s00072,bridal lehenga
s00072,hijab
s00072,cardigan
s00072,woolen shawl
s00072,winter cap
s00072,cotton three-piece
s00072,kids eid frock
s00072,denim jeans
s00072,salwar set
s00072,embroidered blouse
s00072,scarf
s00072,formal trouser
s00072,cotton saree
s00072,designer panjabi
s00072,lungi
s00072,silk saree
s00073,winter jacket
s00073,embroidered blouse
s00073,lungi
s00073,scarf
s00073,matching blouse
s00073,woolen shawl
s00073,winter cap
s00073,designer panjabi
s00073,hijab
s00073,salwar set
s00073,petticoat
s00073,kids eid frock
s00073,cotton saree
s00073,formal trouser
s00073,casual shirt
s00073,anarkali kurti
s00073,cotton three-piece
s00073,graphic t-shirt
s00073,cardigan
s00073,bridal lehenga
s00073,silk saree
s00073,denim jeans
s00073,nightwear set
s00073,kurti
s00074,kids eid frock
s00074,winter cap
s00074,nightwear set
s00074,denim jeans
s00074,designer panjabi
s00074,silk saree
s00074,hijab
s00074,woolen shawl
s00074,anarkali kurti
s00074,scarf
s00074,formal trouser
s00074,casual shirt
s00074,lungi
s00074,kurti
s00074,matching blouse
s00074,petticoat
s00074,cardigan
s00074,winter jacket
s00074,graphic t-shirt
s00074,salwar set
s00074,cotton saree
s00074,cotton three-piece
s00075,graphic t-shirt
s00075,cotton three-piece
s00075,kurti
s00075,cardigan
s00075,embroidered blouse
s00075,hijab
s00075,denim jeans
s00075,designer panjabi
s00075,winter jacket
s00075,cotton saree
s00075,matching blouse
s00075,petticoat
s00076,silk saree
s00076,salwar set
s00076,formal trouser
s00076,embroidered blouse
s00076,kurti
s00076,petticoat
s00076,graphic t-shirt
s00076,lungi
s00076,hijab
s00076,cardigan
s00076,bridal lehenga
s00076,scarf
s00076,denim jeans
s00076,winter cap
s00076,winter jacket
s00076,cotton three-piece
s00076,casual shirt
s00076,woolen shawl
s00076,nightwear set
s00076,anarkali kurti
s00077,hijab
s00077,designer panjabi
