shop_id,shop_type,region
s00096,clothing,Chattogram
s00097,clothing,Dhaka
s00098,clothing,Sylhet
s00099,clothing,Jessore
s00100,clothing,Khulna
s00101,grocery,Gazipur
s00102,grocery,Khulna
s00103,grocery,Cox's Bazar
s00104,grocery,Rangpur
s00105,grocery,Mymensingh
s00106,grocery,Faridpur
s00107,grocery,Cox's Bazar
s00108,grocery,Dhaka
s00109,grocery,Cox's Bazar
s00110,grocery,Cumilla
s00111,grocery,Dhaka
s00112,grocery,Faridpur
s00113,grocery,Sylhet
s00114,grocery,Mymensingh
s00115,grocery,Cumilla
s00116,grocery,Mymensingh
s00117,grocery,Chattogram
s00118,grocery,Jessore
s00119,grocery,Rajshahi
s00120,grocery,Faridpur
s00121,grocery,Dhaka
s00122,grocery,Gazipur
s00123,grocery,Rangpur
s00124,grocery,Faridpur
s00125,grocery,Barishal
s00126,grocery,Faridpur
s00127,grocery,Rangpur
s00128,grocery,Jessore
s00129,grocery,Jessore
s00130,grocery,Narayanganj
s00131,grocery,Chattogram
s00132,grocery,Sylhet
s00133,grocery,Mymensingh
s00134,grocery,Barishal
s00135,grocery,Narayanganj
s00136,grocery,Khulna
s00137,grocery,Rangpur
s00138,grocery,Sylhet
s00139,grocery,Dhaka
s00140,grocery,Rajshahi
s00141,grocery,Barishal
s00142,grocery,Sylhet
s00143,grocery,Cox's Bazar
s00144,grocery,Cox's Bazar
s00145,grocery,Rajshahi
s00146,grocery,Chattogram
s00147,grocery,Jessore
s00148,grocery,Faridpur
s00149,grocery,Bogra
s00150,grocery,Bogra
s00151,grocery,Rajshahi
s00152,grocery,Faridpur
s00153,grocery,Narayanganj
s00154,grocery,Rajshahi
s00155,grocery,Khulna
s00156,grocery,Dhaka
s00157,grocery,Dhaka
s00158,grocery,Khulna
s00159,grocery,Narayanganj
s00160,grocery,Narayanganj
s00161,grocery,Bogra
s00162,grocery,Narayanganj
s00163,grocery,Bogra
s00164,grocery,Gazipur
s00165,grocery,Chattogram
s00166,grocery,Jessore
s00167,grocery,Gazipur
s00168,grocery,Barishal
s00169,grocery,Gazipur
s00170,grocery,Chattogram
s00171,grocery,Rajshahi
s00172,grocery,Dhaka
s00173,grocery,Bogra
s00174,grocery,Barishal
s00175,grocery,Gazipur
s00176,grocery,Rajshahi
s00177,grocery,Rangpur
s00178,grocery,Sylhet
s00179,grocery,Rajshahi
s00180,grocery,Cumilla
s00181,grocery,Barishal
s00182,grocery,Cumilla
s00183,grocery,Barishal
s00184,grocery,Cumilla
s00185,grocery,Cumilla
s00186,grocery,Gazipur
s00187,grocery,Cox's Bazar
s00188,grocery,Gazipur
s00189,grocery,Rangpur
s00190,grocery,Bogra
s00191,grocery,Mymensingh
s00192,grocery,Sylhet
s00193,grocery,Chattogram
s00194,grocery,Cumilla
s00195,grocery,Rajshahi
s00196,grocery,Bogra
s00197,grocery,Chattogram
s00198,grocery,Rangpur
s00199,grocery,Sylhet
s00200,grocery,Rajshahi
s00201,electronics,Cox's Bazar
s00202,electronics,Rangpur
s00203,electronics,Gazipur
s00204,electronics,Narayanganj
s00205,electronics,Sylhet
s00206,electronics,Khulna
s00207,electronics,Dhaka
s00208,electronics,Narayanganj
s00209,electronics,Gazipur
s00210,electronics,Sylhet
s00211,electronics,Mymensingh
s00212,electronics,Faridpur
s00213,electronics,Faridpur
s00214,electronics,Jessore
s00215,electronics,Rangpur
s00216,electronics,Khulna
s00217,electronics,Rajshahi
s00218,electronics,Chattogram
s00219,electronics,Rajshahi
s00220,electronics,Cox's Bazar
s00221,electronics,Cox's Bazar
s00222,electronics,Dhaka
s00223,electronics,Faridpur
s00224,electronics,Gazipur
s00225,electronics,Khulna
s00226,electronics,Chattogram
s00227,electronics,Khulna
s00228,electronics,Rangpur
s00229,electronics,Sylhet
s00230,electronics,Chattogram
s00231,electronics,Jessore
s00232,electronics,Gazipur
s00233,electronics,Faridpur
s00234,electronics,Khulna
s00235,electronics,Gazipur
s00236,electronics,Gazipur
s00237,electronics,Chattogram
s00238,electronics,Gazipur
s00239,electronics,Rajshahi
s00240,electronics,Cumilla
s00241,electronics,Khulna
s00242,electronics,Dhaka
s00243,electronics,Rajshahi
s00244,electronics,Gazipur
s00245,electronics,Chattogram
s00246,electronics,Cox's Bazar
s00247,electronics,Khulna
s00248,electronics,Jessore
s00249,electronics,Sylhet
s00250,electronics,Gazipur
s00251,electronics,Khulna
s00252,electronics,Narayanganj
s00253,electronics,Bogra
s00254,electronics,Cumilla
s00255,electronics,Gazipur
s00256,electronics,Narayanganj
s00257,electronics,Rangpur
s00258,electronics,Jessore
s00259,electronics,Dhaka
s00260,electronics,Cumilla
s00261,electronics,Khulna
s00262,electronics,Jessore
s00263,electronics,Mymensingh
s00264,electronics,Dhaka
s00265,electronics,Khulna
s00266,electronics,Cox's Bazar
s00267,electronics,Bogra
s00268,electronics,Rajshahi
s00269,electronics,Mymensingh
s00270,electronics,Jessore
s00271,electronics,Bogra
s00272,electronics,Cox's Bazar
s00273,electronics,Mymensingh
s00274,electronics,Sylhet
s00275,electronics,Chattogram
s00276,electronics,Chattogram
s00277,electronics,Faridpur
s00278,electronics,Rangpur
s00279,electronics,Rajshahi
s00280,electronics,Chattogram
s00281,electronics,Cumilla
s00282,electronics,Narayanganj
s00283,electronics,Dhaka
s00284,electronics,Narayanganj
s00285,electronics,Bogra
s00286,electronics,Chattogram
s00287,electronics,Gazipur
s00288,electronics,Cumilla
s00289,electronics,Jessore
s00290,electronics,Rangpur
s00291,electronics,Chattogram
s00292,electronics,Dhaka
s00293,electronics,Gazipur
s00294,electronics,Narayanganj
s00295,electronics,Cox's Bazar
s00296,electronics,Barishal
s00297,electronics,Rajshahi
s00298,electronics,Sylhet
s00299,electronics,Bogra
s00300,electronics,Gazipur
s00301,beauty,Khulna
s00302,beauty,Mymensingh
s00303,beauty,Rajshahi
s00304,beauty,Rangpur
s00305,beauty,Khulna
s00306,beauty,Chattogram
s00307,beauty,Gazipur
s00308,beauty,Gazipur
s00309,beauty,Bogra
s00310,beauty,Sylhet
s00311,beauty,Barishal
s00312,beauty,Barishal
s00313,beauty,Bogra
s00314,beauty,Bogra
s00315,beauty,Barishal
s00316,beauty,Mymensingh
s00317,beauty,Cox's Bazar
s00318,beauty,Cox's Bazar
s00319,beauty,Gazipur
s00320,beauty,Barishal
s00321,beauty,Barishal
s00322,beauty,Dhaka
s00323,beauty,Bogra
s00324,beauty,Dhaka
s00325,beauty,Rangpur
s00326,beauty,Barishal
s00327,beauty,Jessore
s00328,beauty,Rajshahi
s00329,beauty,Faridpur
s00330,beauty,Rajshahi
s00331,beauty,Narayanganj
s00332,beauty,Jessore
s00333,beauty,Rajshahi
s00334,beauty,Narayanganj
s00335,beauty,Faridpur
s00336,beauty,Bogra
s00337,beauty,Faridpur
s00338,beauty,Bogra
s00339,beauty,Rajshahi
s00340,beauty,Faridpur
s00341,beauty,Rangpur
s00342,beauty,Cox's Bazar
s00343,beauty,Dhaka
s00344,beauty,Chattogram
s00345,beauty,Narayanganj
s00346,beauty,Bogra
s00347,beauty,Bogra
s00348,beauty,Rajshahi
s00349,beauty,Mymensingh
s00350,beauty,Dhaka
s00351,beauty,Rangpur
s00352,beauty,Cox's Bazar
s00353,beauty,Gazipur
s00354,beauty,Rangpur
s00355,beauty,Faridpur
s00356,beauty,Bogra
s00357,beauty,Dhaka
s00358,beauty,Cox's Bazar
s00359,beauty,Barishal
s00360,beauty,Gazipur
s00361,beauty,Mymensingh
s00362,beauty,Cumilla
s00363,beauty,Dhaka
s00364,beauty,Cox's Bazar
s00365,beauty,Cumilla
s00366,beauty,Barishal
s00367,beauty,Rangpur
s00368,beauty,Bogra
s00369,beauty,Narayanganj
s00370,beauty,Rajshahi
s00371,beauty,Narayanganj
s00372,beauty,Cox's Bazar
s00373,beauty,Khulna
s00374,beauty,Rangpur
s00375,beauty,Rajshahi
s00376,beauty,Gazipur
s00377,beauty,Rangpur
s00378,beauty,Gazipur
s00379,beauty,Gazipur
s00380,beauty,Khulna
s00381,beauty,Sylhet
s00382,beauty,Barishal
s00383,beauty,Gazipur
s00384,beauty,Cumilla
s00385,beauty,Sylhet
s00386,beauty,Jessore
s00387,beauty,Cox's Bazar
s00388,beauty,Sylhet
s00389,beauty,Narayanganj
s00390,beauty,Narayanganj
s00391,beauty,Bogra
s00392,beauty,Rajshahi
s00393,beauty,Dhaka
s00394,beauty,Mymensingh
s00395,beauty,Sylhet
s00396,beauty,Mymensingh
s00397,beauty,Jessore
s00398,beauty,Rangpur
s00399,beauty,Chattogram
s00400,beauty,Chattogram
s00401,home,Barishal
s00402,home,Mymensingh
s00403,home,Chattogram
s00404,home,Sylhet
s00405,home,Mymensingh
s00406,home,Barishal
s00407,home,Jessore
s00408,home,Faridpur
s00409,home,Rajshahi
s00410,home,Khulna
s00411,home,Rajshahi
s00412,home,Jessore
s00413,home,Chattogram
s00414,home,Bogra
s00415,home,Jessore
s00416,home,Chattogram
s00417,home,Bogra
s00418,home,Sylhet
s00419,home,Mymensingh
s00420,home,Rangpur
s00421,home,Cumilla
s00422,home,Cumilla
s00423,home,Sylhet
s00424,home,Narayanganj
s00425,home,Mymensingh
s00426,home,Rajshahi
s00427,home,Bogra
s00428,home,Narayanganj
s00429,home,Dhaka
s00430,home,Mymensingh
s00431,home,Rangpur
s00432,home,Gazipur
s00433,home,Barishal
s00434,home,Bogra
s00435,home,Gazipur
s00436,home,Sylhet
s00437,home,Gazipur
s00438,home,Cumilla
s00439,home,Chattogram
s00440,home,Cox's Bazar
s00441,home,Gazipur
s00442,home,Narayanganj
s00443,home,Jessore
s00444,home,Mymensingh
s00445,home,Rangpur
s00446,home,Gazipur
s00447,home,Barishal
s00448,home,Dhaka
s00449,home,Gazipur
s00450,home,Mymensingh
s00451,home,Rajshahi
s00452,home,Gazipur
s00453,home,Cumilla
s00454,home,Faridpur
s00455,home,Mymensingh
s00456,home,Khulna
s00457,home,Mymensingh
s00458,home,Sylhet
s00459,home,Rangpur
s00460,home,Bogra
s00461,home,Cox's Bazar
s00462,home,Barishal
s00463,home,Gazipur
s00464,home,Narayanganj
s00465,home,Sylhet
s00466,home,Sylhet
s00467,home,Cumilla
s00468,home,Mymensingh
s00469,home,Jessore
s00470,home,Khulna
s00471,home,Narayanganj
s00472,home,Mymensingh
s00473,home,Rajshahi
s00474,home,Faridpur
s00475,home,Mymensingh
s00476,home,Khulna
s00477,home,Jessore
s00478,home,Jessore
s00479,home,Mymensingh
s00480,home,Narayanganj
s00481,home,Cumilla
s00482,home,Narayanganj
s00483,home,Sylhet
s00484,home,Rangpur
s00485,home,Chattogram
s00486,home,Barishal
s00487,home,Khulna
s00488,home,Khulna
s00489,home,Cox's Bazar
s00490,home,Barishal
s00491,home,Bogra
s00492,home,Chattogram
s00493,home,Jessore
s00494,home,Chattogram
s00495,home,Faridpur
s00496,home,Narayanganj
s00497,home,Gazipur
s00498,home,Narayanganj
s00499,home,Bogra
s00500,home,Mymensingh
s00501,food,Gazipur
s00502,food,Gazipur
s00503,food,Rajshahi
s00504,food,Chattogram
s00505,food,Sylhet
s00506,food,Chattogram
s00507,food,Gazipur
s00508,food,Bogra
s00509,food,Faridpur
s00510,food,Khulna
s00511,food,Khulna
s00512,food,Khulna
s00513,food,Cumilla
s00514,food,Rajshahi
s00515,food,Jessore
s00516,food,Mymensingh
s00517,food,Sylhet
s00518,food,Sylhet
s00519,food,Mymensingh
s00520,food,Jessore
s00521,food,Barishal
s00522,food,Barishal
s00523,food,Chattogram
s00524,food,Rajshahi
s00525,food,Jessore
s00526,food,Barishal
s00527,food,Bogra
s00528,food,Cumilla
s00529,food,Sylhet
s00530,food,Chattogram
s00531,food,Sylhet
s00532,food,Rangpur
s00533,food,Cumilla
s00534,food,Jessore
s00535,food,Rajshahi
s00536,food,Chattogram
s00537,food,Cumilla
s00538,food,Jessore
s00539,food,Dhaka
s00540,food,Barishal
s00541,food,Cumilla
s00542,food,Jessore
s00543,food,Rajshahi
s00544,food,Sylhet
s00545,food,Narayanganj
s00546,food,Chattogram
s00547,food,Narayanganj
s00548,food,Dhaka
s00549,food,Chattogram
s00550,food,Narayanganj
s00551,food,Mymensingh
s00552,food,Cox's Bazar
s00553,food,Chattogram
s00554,food,Chattogram
s00555,food,Faridpur
s00556,food,Khulna
s00557,food,Khulna
s00558,food,Dhaka
s00559,food,Faridpur
s00560,food,Narayanganj
s00561,food,Gazipur
s00562,food,Mymensingh
s00563,food,Gazipur
s00564,food,Mymensingh
s00565,food,Barishal
s00566,food,Narayanganj
s00567,food,Rajshahi
s00568,food,Bogra
s00569,food,Mymensingh
s00570,food,Mymensingh
s00571,food,Bogra
s00572,food,Jessore
s00573,food,Rajshahi
s00574,food,Narayanganj
s00575,food,Sylhet
s00576,food,Barishal
s00577,food,Khulna
s00578,food,Barishal
s00579,food,Cumilla
s00580,food,Cumilla
s00581,food,Faridpur
s00582,food,Khulna
s00583,food,Cumilla
s00584,food,Jessore
s00585,food,Jessore
s00586,food,Rangpur
s00587,food,Jessore
s00588,food,Dhaka
s00589,food,Khulna
s00590,food,Dhaka
s00591,food,Gazipur
s00592,food,Gazipur
s00593,food,Chattogram
s00594,food,Narayanganj
s00595,food,Barishal
s00596,food,Gazipur
s00597,food,Faridpur
s00598,food,Narayanganj
s00599,food,Jessore
s00600,food,Bogra
s00601,pharmacy,Dhaka
s00602,pharmacy,Chattogram
s00603,pharmacy,Rajshahi
s00604,pharmacy,Dhaka
s00605,pharmacy,Bogra
s00606,pharmacy,Mymensingh
s00607,pharmacy,Rangpur
s00608,pharmacy,Narayanganj
s00609,pharmacy,Dhaka
s00610,pharmacy,Sylhet
s00611,pharmacy,Cox's Bazar
s00612,pharmacy,Barishal
s00613,pharmacy,Barishal
s00614,pharmacy,Rangpur
s00615,pharmacy,Cumilla
s00616,pharmacy,Cox's Bazar
s00617,pharmacy,Narayanganj
s00618,pharmacy,Mymensingh
s00619,pharmacy,Dhaka
s00620,pharmacy,Khulna
s00621,pharmacy,Bogra
s00622,pharmacy,Chattogram
s00623,pharmacy,Gazipur
s00624,pharmacy,Khulna
s00625,pharmacy,Cumilla
s00626,pharmacy,Cox's Bazar
s00627,pharmacy,Faridpur
s00628,pharmacy,Gazipur
s00629,pharmacy,Barishal
s00630,pharmacy,Sylhet
s00631,pharmacy,Gazipur
s00632,pharmacy,Jessore
s00633,pharmacy,Barishal
s00634,pharmacy,Khulna
s00635,pharmacy,Cumilla
s00636,pharmacy,Narayanganj
s00637,pharmacy,Gazipur
s00638,pharmacy,Gazipur
s00639,pharmacy,Faridpur
s00640,pharmacy,Rangpur
s00641,pharmacy,Narayanganj
s00642,pharmacy,Cox's Bazar
s00643,pharmacy,Cox's Bazar
s00644,pharmacy,Cox's Bazar
s00645,pharmacy,Chattogram
s00646,pharmacy,Narayanganj
s00647,pharmacy,Rangpur
s00648,pharmacy,Mymensingh
s00649,pharmacy,Barishal
s00650,pharmacy,Mymensingh
s00651,pharmacy,Khulna
s00652,pharmacy,Faridpur
s00653,pharmacy,Barishal
s00654,pharmacy,Cox's Bazar
s00655,pharmacy,Bogra
s00656,pharmacy,Rajshahi
s00657,pharmacy,Cumilla
s00658,pharmacy,Chattogram
s00659,pharmacy,Gazipur
s00660,pharmacy,Jessore
s00661,pharmacy,Faridpur
s00662,pharmacy,Rajshahi
s00663,pharmacy,Faridpur
s00664,pharmacy,Gazipur
s00665,pharmacy,Chattogram
s00666,pharmacy,Narayanganj
s00667,pharmacy,Faridpur
s00668,pharmacy,Narayanganj
s00669,pharmacy,Gazipur
s00670,pharmacy,Khulna
s00671,pharmacy,Khulna
s00672,pharmacy,Bogra
s00673,pharmacy,Bogra
s00674,pharmacy,Jessore
s00675,pharmacy,Mymensingh
s00676,pharmacy,Khulna
s00677,pharmacy,Faridpur
s00678,pharmacy,Narayanganj
s00679,pharmacy,Narayanganj
s00680,pharmacy,Jessore
s00681,pharmacy,Khulna
s00682,pharmacy,Barishal
s00683,pharmacy,Mymensingh
s00684,pharmacy,Rangpur
s00685,pharmacy,Cox's Bazar
s00686,pharmacy,Chattogram
s00687,pharmacy,Cox's Bazar
s00688,pharmacy,Cox's Bazar
s00689,pharmacy,Cumilla
s00690,pharmacy,Sylhet
s00691,pharmacy,Cumilla
s00692,pharmacy,Chattogram
s00693,pharmacy,Narayanganj
s00694,pharmacy,Chattogram
s00695,pharmacy,Cox's Bazar
s00696,pharmacy,Cumilla
s00697,pharmacy,Bogra
s00698,pharmacy,Rangpur
s00699,pharmacy,Chattogram
s00700,pharmacy,Cumilla
s00701,stationery,Rangpur
s00702,stationery,Jessore
s00703,stationery,Rajshahi
s00704,stationery,Cox's Bazar
s00705,stationery,Bogra
s00706,stationery,Narayanganj
s00707,stationery,Cumilla
s00708,stationery,Gazipur
s00709,stationery,Dhaka
s00710,stationery,Barishal
s00711,stationery,Sylhet
s00712,stationery,Barishal
s00713,stationery,Gazipur
s00714,stationery,Gazipur
s00715,stationery,Sylhet
s00716,stationery,Narayanganj
s00717,stationery,Jessore
s00718,stationery,Jessore
s00719,stationery,Dhaka
s00720,stationery,Chattogram
s00721,stationery,Dhaka
s00722,stationery,Rajshahi
s00723,stationery,Bogra
s00724,stationery,Gazipur
s00725,stationery,Bogra
s00726,stationery,Mymensingh
s00727,stationery,Sylhet
s00728,stationery,Sylhet
s00729,stationery,Cox's Bazar
s00730,stationery,Cumilla
s00731,stationery,Cox's Bazar
s00732,stationery,Dhaka
s00733,stationery,Rajshahi
s00734,stationery,Gazipur
s00735,stationery,Rajshahi
s00736,stationery,Rajshahi
s00737,stationery,Rangpur
s00738,stationery,Dhaka
s00739,stationery,Sylhet
s00740,stationery,Jessore
s00741,stationery,Faridpur
s00742,stationery,Khulna
s00743,stationery,Gazipur
s00744,stationery,Cox's Bazar
s00745,stationery,Cox's Bazar
s00746,stationery,Gazipur
s00747,stationery,Dhaka
s00748,stationery,Chattogram
s00749,stationery,Chattogram
s00750,stationery,Sylhet
s00751,stationery,Jessore
s00752,stationery,Narayanganj
s00753,stationery,Gazipur
s00754,stationery,Rajshahi
s00755,stationery,Faridpur
s00756,stationery,Barishal
s00757,stationery,Gazipur
s00758,stationery,Cumilla
s00759,stationery,Dhaka
s00760,stationery,Chattogram
s00761,stationery,Jessore
s00762,stationery,Barishal
s00763,stationery,Sylhet
s00764,stationery,Mymensingh
s00765,stationery,Mymensingh
s00766,stationery,Faridpur
s00767,stationery,Gazipur
s00768,stationery,Dhaka
s00769,stationery,Khulna
s00770,stationery,Chattogram
s00771,stationery,Chattogram
s00772,stationery,Faridpur
s00773,stationery,Chattogram
s00774,stationery,Bogra
s00775,stationery,Cox's Bazar
s00776,stationery,Mymensingh
s00777,stationery,Dhaka
s00778,stationery,Sylhet
s00779,stationery,Khulna
s00780,stationery,Cumilla
s00781,stationery,Barishal
s00782,stationery,Dhaka
s00783,stationery,Barishal
s00784,stationery,Mymensingh
s00785,stationery,Rajshahi
s00786,stationery,Sylhet
s00787,stationery,Faridpur
s00788,stationery,Barishal
s00789,stationery,Barishal
s00790,stationery,Bogra
s00791,stationery,Jessore
s00792,stationery,Chattogram
s00793,stationery,Rajshahi
s00794,stationery,Gazipur
s00795,stationery,Chattogram
s00796,stationery,Khulna
s00797,stationery,Rajshahi
s00798,stationery,Cox's Bazar
s00799,stationery,Faridpur
s00800,stationery,Bogra
s00801,jewellery,Khulna
s00802,jewellery,Faridpur
s00803,jewellery,Bogra
s00804,jewellery,Narayanganj
s00805,jewellery,Khulna
s00806,jewellery,Sylhet
s00807,jewellery,Sylhet
s00808,jewellery,Dhaka
s00809,jewellery,Jessore
s00810,jewellery,Cumilla
s00811,jewellery,Sylhet
s00812,jewellery,Dhaka
s00813,jewellery,Rajshahi
s00814,jewellery,Dhaka
s00815,jewellery,Cumilla
s00816,jewellery,Dhaka
s00817,jewellery,Gazipur
s00818,jewellery,Khulna
s00819,jewellery,Dhaka
s00820,jewellery,Faridpur
s00821,jewellery,Dhaka
s00822,jewellery,Sylhet
s00823,jewellery,Rajshahi
s00824,jewellery,Bogra
s00825,jewellery,Bogra
s00826,jewellery,Narayanganj
s00827,jewellery,Mymensingh
s00828,jewellery,Narayanganj
s00829,jewellery,Jessore
s00830,jewellery,Faridpur
s00831,jewellery,Khulna
s00832,jewellery,Gazipur
s00833,jewellery,Cox's Bazar
s00834,jewellery,Mymensingh
s00835,jewellery,Barishal
s00836,jewellery,Chattogram
s00837,jewellery,Jessore
s00838,jewellery,Rangpur
s00839,jewellery,Barishal
s00840,jewellery,Faridpur
s00841,jewellery,Jessore
s00842,jewellery,Jessore
s00843,jewellery,Chattogram
s00844,jewellery,Dhaka
s00845,jewellery,Gazipur
s00846,jewellery,Gazipur
s00847,jewellery,Rajshahi
s00848,jewellery,Rajshahi
s00849,jewellery,Rangpur
s00850,jewellery,Chattogram
s00851,jewellery,Rajshahi
s00852,jewellery,Gazipur
s00853,jewellery,Cumilla
s00854,jewellery,Dhaka
s00855,jewellery,Bogra
s00856,jewellery,Bogra
s00857,jewellery,Cox's Bazar
s00858,jewellery,Rangpur
s00859,jewellery,Rangpur
s00860,jewellery,Cox's Bazar
s00861,jewellery,Sylhet
s00862,jewellery,Bogra
s00863,jewellery,Bogra
s00864,jewellery,Narayanganj
s00865,jewellery,Rajshahi
s00866,jewellery,Narayanganj
s00867,jewellery,Sylhet
s00868,jewellery,Cox's Bazar
s00869,jewellery,Chattogram
s00870,jewellery,Cox's Bazar
s00871,jewellery,Cumilla
s00872,jewellery,Khulna
s00873,jewellery,Sylhet
s00874,jewellery,Jessore
s00875,jewellery,Jessore
s00876,jewellery,Rangpur
s00877,jewellery,Barishal
s00878,jewellery,Gazipur
s00879,jewellery,Jessore
s00880,jewellery,Khulna
s00881,jewellery,Chattogram
s00882,jewellery,Jessore
s00883,jewellery,Barishal
s00884,jewellery,Mymensingh
s00885,jewellery,Bogra
s00886,jewellery,Gazipur
s00887,jewellery,Cumilla
s00888,jewellery,Faridpur
s00889,jewellery,Narayanganj
s00890,jewellery,Chattogram
s00891,jewellery,Rajshahi
s00892,jewellery,Barishal
s00893,jewellery,Chattogram
s00894,jewellery,Khulna
s00895,jewellery,Cumilla
s00896,jewellery,Khulna
s00897,jewellery,Faridpur
s00898,jewellery,Faridpur
s00899,jewellery,Dhaka
s00900,jewellery,Rajshahi
s00901,footwear,Narayanganj
s00902,footwear,Khulna
s00903,footwear,Barishal
s00904,footwear,Bogra
s00905,footwear,Gazipur
s00906,footwear,Cumilla
s00907,footwear,Narayanganj
s00908,footwear,Dhaka
s00909,footwear,Mymensingh
s00910,footwear,Chattogram
s00911,footwear,Cumilla
s00912,footwear,Mymensingh
s00913,footwear,Cumilla
s00914,footwear,Barishal
s00915,footwear,Barishal
s00916,footwear,Mymensingh
s00917,footwear,Cox's Bazar
s00918,footwear,Barishal
s00919,footwear,Jessore
s00920,footwear,Gazipur
s00921,footwear,Cox's Bazar
s00922,footwear,Sylhet
s00923,footwear,Cox's Bazar
s00924,footwear,Mymensingh
s00925,footwear,Bogra
s00926,footwear,Barishal
s00927,footwear,Narayanganj
s00928,footwear,Rangpur
s00929,footwear,Khulna
s00930,footwear,Cox's Bazar
s00931,footwear,Rajshahi
s00932,footwear,Narayanganj
s00933,footwear,Khulna
s00934,footwear,Narayanganj
s00935,footwear,Bogra
s00936,footwear,Gazipur
s00937,footwear,Faridpur
s00938,footwear,Gazipur
s00939,footwear,Cumilla
s00940,footwear,Cox's Bazar
s00941,footwear,Mymensingh
s00942,footwear,Cox's Bazar
s00943,footwear,Jessore
s00944,footwear,Barishal
s00945,footwear,Cumilla
s00946,footwear,Khulna
s00947,footwear,Dhaka
s00948,footwear,Gazipur
s00949,footwear,Jessore
s00950,footwear,Rangpur
s00951,footwear,Khulna
s00952,footwear,Rajshahi
s00953,footwear,Cumilla
s00954,footwear,Rajshahi
s00955,footwear,Gazipur
s00956,footwear,Sylhet
s00957,footwear,Gazipur
s00958,footwear,Khulna
s00959,footwear,Khulna
s00960,footwear,Chattogram
s00961,footwear,Cox's Bazar
s00962,footwear,Faridpur
s00963,footwear,Mymensingh
s00964,footwear,Cumilla
s00965,footwear,Rajshahi
s00966,footwear,Cox's Bazar
s00967,footwear,Bogra
s00968,footwear,Rangpur
s00969,footwear,Chattogram
s00970,footwear,Rangpur
s00971,footwear,Bogra
s00972,footwear,Khulna
s00973,footwear,Chattogram
s00974,footwear,Barishal
s00975,footwear,Narayanganj
s00976,footwear,Rangpur
s00977,footwear,Rangpur
s00978,footwear,Khulna
s00979,footwear,Bogra
s00980,footwear,Faridpur
s00981,footwear,Cox's Bazar
s00982,footwear,Faridpur
s00983,footwear,Rajshahi
s00984,footwear,Jessore
s00985,footwear,Faridpur
s00986,footwear,Gazipur
s00987,footwear,Khulna
s00988,footwear,Dhaka
s00989,footwear,Barishal
s00990,footwear,Rangpur
s00991,footwear,Gazipur
s00992,footwear,Jessore
s00993,footwear,Narayanganj
s00994,footwear,Mymensingh
s00995,footwear,Barishal
s00996,footwear,Khulna
